p_set,p,q,status,snapshot,generator
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G6-RM3-60
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G7-RM3-60
,264.8259788624889,118.28383916260483,,1997-11-03 01:45:00,G0
0.017375397985809442,0.017375397985809442,-119.89061794270945,,1997-11-03 01:45:00,G0-RM3-60
,40.0,65.84627241589402,,1997-11-03 01:45:00,G1
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G1-RM3-60
,0.0,43.72460536701978,,1997-11-03 01:45:00,G2
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G2-RM3-60
,0.0,55.07355508190567,,1997-11-03 01:45:00,G3
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G3-RM3-60
,0.0,23.639285573951796,,1997-11-03 01:45:00,G4
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G4-RM3-60
,0.0,17.858438771502573,,1997-11-03 01:45:00,G5
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G5-RM3-60
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G6-RM3-60
0.017375397985809442,0.017375397985809442,0.0,,1997-11-03 01:45:00,G7-RM3-60
,264.96853600888323,118.262577590647,,1997-11-03 01:50:00,G0
0.02195853755088097,0.02195853755088097,-119.89751779553232,,1997-11-03 01:50:00,G0-RM3-60
,40.0,65.892510794186,,1997-11-03 01:50:00,G1
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G1-RM3-60
,0.0,43.75232948281692,,1997-11-03 01:50:00,G2
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G2-RM3-60
,0.0,55.10284581403752,,1997-11-03 01:50:00,G3
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G3-RM3-60
,0.0,23.64343803134349,,1997-11-03 01:50:00,G4
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G4-RM3-60
,0.0,17.86402611096266,,1997-11-03 01:50:00,G5
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G5-RM3-60
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G6-RM3-60
0.02195853755088097,0.02195853755088097,0.0,,1997-11-03 01:50:00,G7-RM3-60
,265.19893202233663,118.22325200683576,,1997-11-03 01:55:00,G0
0.016838632612499013,0.016838632612499013,-119.88980980534012,,1997-11-03 01:55:00,G0-RM3-60
,40.0,65.94149916930647,,1997-11-03 01:55:00,G1
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G1-RM3-60
,0.0,43.781694576561684,,1997-11-03 01:55:00,G2
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G2-RM3-60
,0.0,55.13387263820583,,1997-11-03 01:55:00,G3
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G3-RM3-60
,0.0,23.647837117296966,,1997-11-03 01:55:00,G4
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G4-RM3-60
,0.0,17.869946010763485,,1997-11-03 01:55:00,G5
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G5-RM3-60
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G6-RM3-60
0.016838632612499013,0.016838632612499013,0.0,,1997-11-03 01:55:00,G7-RM3-60
,265.4141837729544,118.18769598208826,,1997-11-03 02:00:00,G0
0.014975876892901571,0.014975876892901571,-119.88700522536551,,1997-11-03 02:00:00,G0-RM3-60
,40.0,65.99329992989078,,1997-11-03 02:00:00,G1
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G1-RM3-60
,0.0,43.812736673582535,,1997-11-03 02:00:00,G2
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G2-RM3-60
,0.0,55.16667403369015,,1997-11-03 02:00:00,G3
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G3-RM3-60
,0.0,23.652488375804918,,1997-11-03 02:00:00,G4
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G4-RM3-60
,0.0,17.876206054765372,,1997-11-03 02:00:00,G5
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G5-RM3-60
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G6-RM3-60
0.014975876892901571,0.014975876892901571,0.0,,1997-11-03 02:00:00,G7-RM3-60
,265.58630268247936,118.16185176014227,,1997-11-03 02:05:00,G0
0.01990896873497875,0.01990896873497875,-119.89443228242415,,1997-11-03 02:05:00,G0-RM3-60
,40.0,66.04796683950279,,1997-11-03 02:05:00,G1
0.01990896873497875,0.01990896873497875,0.0,,1997-11-03 02:05:00,G1-RM3-60
,0.0,43.84548651410738,,1997-11-03 02:05:00,G2
0.01990896873497875,0.01990896873497875,0.0,,1997-11-03 02:05:00,G2-RM3-60
,0.0,55.20128293049815,,1997-11-03 02:05:00,G3
