BUS_ID,TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,timestamp
16,1,3.539813995361328,1.7999999523162842,0.0,0.0,-3.539813995361328,-1.7999999523162842,1.0441303253173828,34.456298828125,33.0,82.70050048828125,1.4433954954147339,3.725290298461914e-07,1997-11-03 02:20:00
17,1,9.10237979888916,5.800000190734863,0.0,0.0,-9.10237979888916,-5.800000190734863,1.0396227836608887,34.307552337646484,33.0,82.36080932617188,1.4374667406082153,1.6660004575896892e-06,1997-11-03 02:20:00
18,1,3.2364015579223633,0.8999999761581421,0.0,0.0,-3.2364015579223633,-0.8999999761581421,1.0277655124664307,33.916263580322266,33.0,81.67119598388672,1.4254307746887207,4.165001143974223e-07,1997-11-03 02:20:00
19,1,9.608067512512207,3.4000000953674316,0.0,0.0,-9.608067512512207,-3.4000000953674316,1.0252501964569092,33.833255767822266,33.0,81.49494934082031,1.4223546981811523,1.5611810795235215e-06,1997-11-03 02:20:00
20,1,2.2250261306762695,0.699999988079071,0.0,0.0,-2.2250261306762695,-0.699999988079071,1.029366374015808,33.96908950805664,33.0,81.69439697265625,1.4258357286453247,7.679882969569007e-07,1997-11-03 02:20:00
21,1,17.699071884155273,11.199999809265137,0.0,0.0,-17.699071884155273,-11.199999809265137,1.0323994159698486,34.069183349609375,33.0,82.0752944946289,1.4324836730957031,3.3320009151793784e-06,1997-11-03 02:20:00
22,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0329320430755615,34.08675765991211,33.0,82.08985900878906,1.4327378273010254,2.9736036594840698e-05,1997-11-03 02:20:00
23,1,3.2364015579223633,1.600000023841858,0.0,0.0,-3.2364015579223633,-1.600000023841858,1.0267988443374634,33.88436508178711,33.0,81.89714813232422,1.4293744564056396,2.1159681637072936e-05,1997-11-03 02:20:00
24,1,8.798966407775879,6.700000286102295,0.0,0.0,-8.798966407775879,-6.700000286102295,1.0211704969406128,33.69862747192383,33.0,81.7175521850586,1.4262398481369019,4.778002403327264e-05,1997-11-03 02:20:00
25,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0169435739517212,33.55913543701172,33.0,82.14942169189453,1.4337773323059082,0.0,1997-11-03 02:20:00
26,1,3.539813995361328,2.299999952316284,0.0,0.0,-3.539813995361328,-2.299999952316284,0.9991547465324402,32.97210693359375,33.0,81.7208480834961,1.4262974262237549,1.1780401791838813e-06,1997-11-03 02:20:00
27,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0229153633117676,33.75620651245117,33.0,82.68106842041016,1.443056344985962,1.5346206055255607e-05,1997-11-03 02:20:00
28,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0065951347351074,132.8705596923828,132.0,86.58280944824219,1.5111545324325562,4.530173464445397e-05,1997-11-03 02:20:00
29,1,2.4273014068603516,0.8999999761581421,0.0,0.0,-2.4273014068603516,-0.8999999761581421,1.002898931503296,33.095664978027344,33.0,81.43408966064453,1.4212925434112549,4.6566128730773926e-07,1997-11-03 02:20:00
30,1,10.7205810546875,1.899999976158142,0.0,0.0,-10.7205810546875,-1.899999976158142,0.9913113117218018,32.71327209472656,33.0,80.53937530517578,1.4056768417358398,4.539899236988276e-06,1997-11-03 02:20:00
31,2,0.0,0.0,0.14387984573841095,-119.8913345336914,0.14387984573841095,-119.8913345336914,1.0,132.0,132.0,99.08354949951172,1.7293336391448975,0.0,1997-11-03 02:20:00
1,3,0.0,0.0,266.20172119140625,110.24581146240234,266.20172119140625,110.24581146240234,1.059999942779541,139.91998291015625,132.0,98.43160247802734,1.7179549932479858,1.7057447621482424e-05,1997-11-03 02:25:00
2,2,21.964031219482422,12.700000762939453,40.0,50.0,18.035968780517578,37.29999923706055,1.0428270101547241,137.6531524658203,132.0,92.99651336669922,1.6230947971343994,0.015392153523862362,1997-11-03 02:25:00
3,1,2.429201602935791,1.2000000476837158,0.0,0.0,-2.429201602935791,-1.2000000476837158,1.0204166173934937,134.6949920654297,132.0,90.78960418701172,1.584576964378357,4.906222966383211e-05,1997-11-03 02:25:00
4,1,7.692471027374268,1.600000023841858,0.0,0.0,-7.692471027374268,-1.600000023841858,1.0114127397537231,133.50648498535156,132.0,89.01082611083984,1.5535314083099365,0.000708014122210443,1997-11-03 02:25:00
5,2,95.34615325927734,19.0,0.0,37.65407943725586,-95.34615325927734,18.65407943725586,1.0099999904632568,133.32000732421875,132.0,84.0594482421875,1.4671136140823364,0.000983476871624589,1997-11-03 02:25:00
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0100165605545044,133.3221893310547,132.0,87.20421600341797,1.5220001935958862,0.001005475060082972,1997-11-03 02:25:00
7,1,23.07741355895996,10.899999618530273,0.0,0.0,-23.07741355895996,-10.899999618530273,1.0021859407424927,132.28854370117188,132.0,85.3781967163086,1.4901301860809326,7.485539390472695e-05,1997-11-03 02:25:00
8,2,30.365020751953125,30.000001907348633,0.0,37.954856872558594,-30.365020751953125,7.954854965209961,1.0099999904632568,133.3199920654297,132.0,86.44212341308594,1.5086991786956787,0.00012218952178955078,1997-11-03 02:25:00
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0507004261016846,1.0507004261016846,1.0,84.12156677246094,1.4681978225708008,2.9802322387695312e-06,1997-11-03 02:25:00
10,1,5.870570659637451,2.0,0.0,0.0,-5.870570659637451,-2.0,1.0448509454727173,34.480079650878906,33.0,82.51078033447266,1.4400843381881714,0.00015129082021303475,1997-11-03 02:25:00
11,2,0.0,0.0,0.0,16.281814575195312,0.0,16.281814575195312,1.0820001363754272,11.90200138092041,11.0,84.12156677246094,1.4681978225708008,3.609335053056384e-11,1997-11-03 02:25:00
12,1,11.336273193359375,7.500000476837158,0.0,0.0,-11.336273193359375,-7.500000476837158,1.0569243431091309,34.87850570678711,33.0,83.27882385253906,1.4534891843795776,3.0547380447387695e-05,1997-11-03 02:25:00
13,2,0.0,0.0,0.0,10.767827033996582,0.0,10.767827033996582,1.0709999799728394,11.780999183654785,11.0,83.27882385253906,1.4534891843795776,1.7583157152500917e-11,1997-11-03 02:25:00
14,1,6.275436878204346,1.600000023841858,0.0,0.0,-6.275436878204346,-1.600000023841858,1.0419718027114868,34.38507080078125,33.0,82.37367248535156,1.437691330909729,1.5359765939138015e-06,1997-11-03 02:25:00
15,1,8.299771308898926,2.5,0.0,0.0,-8.299771308898926,-2.5,1.0373375415802002,34.232139587402344,33.0,82.279541015625,1.4360483884811401,1.1214608548471006e-06,1997-11-03 02:25:00
16,1,3.542585611343384,1.7999999523162842,0.0,0.0,-3.542585611343384,-1.7999999523162842,1.0441120862960815,34.4556999206543,33.0,82.68623352050781,1.4431464672088623,3.725290298461914e-07,1997-11-03 02:25:00
17,1,9.109505653381348,5.800000190734863,0.0,0.0,-9.109505653381348,-5.800000190734863,1.0396032333374023,34.306907653808594,33.0,82.34620666503906,1.4372119903564453,2.04254979507823e-06,1997-11-03 02:25:00
18,1,3.2389354705810547,0.8999999761581421,0.0,0.0,-3.2389354705810547,-0.8999999761581421,1.027738332748413,33.915367126464844,33.0,81.65596008300781,1.425164818763733,4.39824907516595e-05,1997-11-03 02:25:00
19,1,9.615589141845703,3.4000000953674316,0.0,0.0,-9.615589141845703,-3.4000000953674316,1.0252219438552856,33.83232498168945,33.0,81.47953033447266,1.4220856428146362,4.167023143963888e-05,1997-11-03 02:25:00
20,1,2.2267680168151855,0.699999988079071,0.0,0.0,-2.2267680168151855,-0.699999988079071,1.0293402671813965,33.96822738647461,33.0,81.67918395996094,1.4255702495574951,2.7996740755042993e-05,1997-11-03 02:25:00
21,1,17.712926864624023,11.199999809265137,0.0,0.0,-17.712926864624023,-11.199999809265137,1.0323764085769653,34.068424224853516,33.0,82.06038665771484,1.4322234392166138,7.347420614678413e-05,1997-11-03 02:25:00
22,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0329091548919678,34.086002349853516,33.0,82.0749740600586,1.4324780702590942,3.8318576116580516e-05,1997-11-03 02:25:00
23,1,3.2389354705810547,1.600000023841858,0.0,0.0,-3.2389354705810547,-1.600000023841858,1.026772141456604,33.883480072021484,33.0,81.88207244873047,1.4291112422943115,2.0991770725231618e-05,1997-11-03 02:25:00
24,1,8.805854797363281,6.700000286102295,0.0,0.0,-8.805854797363281,-6.700000286102295,1.021141529083252,33.69767379760742,33.0,81.70226287841797,1.4259730577468872,1.845452788984403e-05,1997-11-03 02:25:00
25,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0169157981872559,33.558223724365234,33.0,82.13440704345703,1.4335153102874756,1.862645149230957e-07,1997-11-03 02:25:00
26,1,3.542585611343384,2.299999952316284,0.0,0.0,-3.542585611343384,-2.299999952316284,0.9991193413734436,32.97093963623047,33.0,81.70521545410156,1.4260245561599731,1.1780401791838813e-06,1997-11-03 02:25:00
27,1,0.0,0.0,0.0,0.0,0.0,0.0,1.022891879081726,33.75543212890625,33.0,82.66655731201172,1.442803144454956,1.4905816897226032e-05,1997-11-03 02:25:00
28,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0065795183181763,132.86849975585938,132.0,86.5716323852539,1.510959506034851,4.443570287548937e-05,1997-11-03 02:25:00
29,1,2.429201602935791,0.8999999761581421,0.0,0.0,-2.429201602935791,-0.8999999761581421,1.0028631687164307,33.094486236572266,33.0,81.41840362548828,1.4210187196731567,7.957223715493456e-07,1997-11-03 02:25:00
30,1,10.728973388671875,1.899999976158142,0.0,0.0,-10.728973388671875,-1.899999976158142,0.9912676811218262,32.71183395385742,33.0,80.52285766601562,1.4053884744644165,4.165000973443966e-06,1997-11-03 02:25:00
31,2,0.0,0.0,0.11673105508089066,-119.88623046875,0.11673105508089066,-119.88623046875,1.0,132.0,132.0,99.0827865600586,1.7293202877044678,0.0,1997-11-03 02:25:00
1,3,0.0,0.0,266.4439697265625,110.24939727783203,266.4439697265625,110.24939727783203,1.059999942779541,139.91998291015625,132.0,98.43160247802734,1.7179549932479858,1.2667356713791378e-05,1997-11-03 02:30:00
2,2,21.98196792602539,12.700000762939453,40.0,50.0,18.01803207397461,37.29999923706055,1.0428056716918945,137.6503448486328,132.0,92.99085998535156,1.6229960918426514,0.015702256932854652,1997-11-03 02:30:00
3,1,2.431185245513916,1.2000000476837158,0.0,0.0,-2.431185245513916,-1.2000000476837158,1.020394206047058,134.69204711914062,132.0,90.7821273803711,1.5844464302062988,4.924292807118036e-05,1997-11-03 02:30:00
4,1,7.6987528800964355,1.600000023841858,0.0,0.0,-7.6987528800964355,-1.600000023841858,1.0113886594772339,133.50331115722656,132.0,89.00152587890625,1.553369164466858,0.0007156343781389296,1997-11-03 02:30:00
5,2,95.42401885986328,19.0,0.0,37.70907211303711,-95.42401885986328,18.70907211303711,1.0099999904632568,133.32000732421875,132.0,84.04541015625,1.4668686389923096,0.0010073187295347452,1997-11-03 02:30:00
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0100001096725464,133.32000732421875,132.0,87.1931381225586,1.5218068361282349,0.0010359822772443295,1997-11-03 02:30:00
7,1,23.09625816345215,10.899999618530273,0.0,0.0,-23.09625816345215,-10.899999618530273,1.002172827720642,132.2868194580078,132.0,85.36539459228516,1.489906668663025,7.374592678388581e-05,1997-11-03 02:30:00
8,2,30.389816284179688,30.000001907348633,0.0,38.01030731201172,-30.389816284179688,8.010305404663086,1.0099999904632568,133.32000732421875,132.0,86.43013763427734,1.508489966392517,0.00012815215450245887,1997-11-03 02:30:00
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0506858825683594,1.0506858825683594,1.0,84.1078872680664,1.4679590463638306,3.071953187827603e-06,1997-11-03 02:30:00
10,1,5.875364303588867,2.0,0.0,0.0,-5.875364303588867,-2.0,1.0448321104049683,34.47945785522461,33.0,82.49574279785156,1.4398218393325806,0.00014698288578074425,1997-11-03 02:30:00
11,2,0.0,0.0,0.0,16.289358139038086,0.0,16.289358139038086,1.0820000171661377,11.902000427246094,11.0,84.1078872680664,1.4679590463638306,3.609092191769747e-11,1997-11-03 02:30:00
12,1,11.34553050994873,7.500000476837158,0.0,0.0,-11.34553050994873,-7.500000476837158,1.0569111108779907,34.87806701660156,33.0,83.26457977294922,1.4532405138015747,2.7476384275360033e-05,1997-11-03 02:30:00
13,2,0.0,0.0,0.0,10.778058052062988,0.0,10.778058052062988,1.071000099182129,11.781000137329102,11.0,83.26457977294922,1.4532405138015747,1.762635176705274e-11,1997-11-03 02:30:00
14,1,6.280561447143555,1.600000023841858,0.0,0.0,-6.280561447143555,-1.600000023841858,1.0419507026672363,34.38437271118164,33.0,82.3585433959961,1.437427282333374,1.5359765939138015e-06,1997-11-03 02:30:00
15,1,8.306549072265625,2.5,0.0,0.0,-8.306549072265625,-2.5,1.0373139381408691,34.231361389160156,33.0,82.2642593383789,1.435781717300415,5.759911800851114e-07,1997-11-03 02:30:00
16,1,3.545478343963623,1.7999999523162842,0.0,0.0,-3.545478343963623,-1.7999999523162842,1.0440930128097534,34.45507049560547,33.0,82.67132568359375,1.4428863525390625,0.0,1997-11-03 02:30:00
