GEN_ID,BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS,MISMATCH,PERCENT,time_s
7,18,1 ,144.0,0.0,100.0,1,1.2013700143143069e-05,144.0,3000.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,3000.0
9,22,1 ,150.0,126.72651672363281,100.0,1,0.0,196.3660125732422,3000.0
10,23,1 ,200.0,0.0,100.0,1,3.3320009151793784e-06,200.0,3000.0
11,25,G1,0.017404990270733833,11.122198104858398,1.0,1,1.1641532182693481e-08,1112.220947265625,3000.0
0,1,1 ,30.43362808227539,62.36547088623047,100.0,1,6.143906375655206e-06,69.39494323730469,3300.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,3300.0
2,7,1 ,64.0,0.0,100.0,1,5.9607486946333665e-06,64.0,3300.0
3,13,1 ,200.0,0.0,100.0,1,1.2013700143143069e-05,200.0,3300.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,3300.0
5,15,1 ,274.0,0.0,100.0,1,1.4901161193847656e-06,274.0,3300.0
6,16,1 ,245.0,0.0,100.0,1,3.2791020203148946e-05,245.0,3300.0
7,18,1 ,144.0,0.0,100.0,1,1.1920928955078125e-05,144.0,3300.0
8,21,1 ,294.0,0.0,100.0,1,2.384185791015625e-05,294.0,3300.0
9,22,1 ,150.0,125.759521484375,100.0,1,0.0,195.74334716796875,3300.0
10,23,1 ,200.0,0.0,100.0,1,4.214684850012418e-06,200.0,3300.0
11,25,G1,0.01351349800825119,11.07311725616455,1.0,1,5.9604644775390625e-06,1107.3126220703125,3300.0
0,1,1 ,29.208139419555664,63.78514099121094,100.0,1,1.5196262211247813e-05,70.154541015625,3600.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,3600.0
2,7,1 ,64.0,0.0,100.0,1,5.961192073300481e-06,64.0,3600.0
3,13,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,3600.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,3600.0
5,15,1 ,274.0,0.0,100.0,1,2.9802322387695312e-06,274.0,3600.0
6,16,1 ,245.0,0.0,100.0,1,9.1326610345277e-06,245.0,3600.0
7,18,1 ,144.0,0.0,100.0,1,1.862645149230957e-07,144.0,3600.0
8,21,1 ,294.0,0.0,100.0,1,2.4027400286286138e-05,294.0,3600.0
9,22,1 ,150.0,126.58988189697266,100.0,1,1.1920928955078125e-05,196.27786254882812,3600.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,3600.0
11,25,G1,0.020096464082598686,11.114021301269531,1.0,1,5.960475846222835e-06,1111.4039306640625,3600.0
0,1,1 ,29.16824722290039,62.66922378540039,100.0,1,8.429369700024836e-06,69.1246566772461,3900.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,3900.0
2,7,1 ,64.0,0.0,100.0,1,1.1641532182693481e-08,64.0,3900.0
3,13,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,3900.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,3900.0
5,15,1 ,274.0,0.0,100.0,1,2.3888378564151935e-05,274.0,3900.0
6,16,1 ,245.0,0.0,100.0,1,6.143906375655206e-06,245.0,3900.0
7,18,1 ,144.0,0.0,100.0,1,1.862645149230957e-07,144.0,3900.0
8,21,1 ,294.0,0.0,100.0,1,8.940696716308594e-06,294.0,3900.0
9,22,1 ,150.0,125.61202239990234,100.0,1,0.0,195.6486053466797,3900.0
10,23,1 ,200.0,0.0,100.0,1,3.3320009151793784e-06,200.0,3900.0
11,25,G1,0.013789466582238674,11.07379150390625,1.0,1,0.0,1107.3800048828125,3900.0
0,1,1 ,30.034709930419922,63.30023956298828,100.0,1,2.9802322387695312e-06,70.06428527832031,4200.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,4200.0
2,7,1 ,64.0,0.0,100.0,1,8.149072527885437e-08,64.0,4200.0
3,13,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,4200.0
4,14,1 ,0.0,0.0,100.0,1,1.2287812751310412e-05,0.0,4200.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,4200.0
6,16,1 ,245.0,0.0,100.0,1,1.7896909412229434e-05,245.0,4200.0
7,18,1 ,144.0,0.0,100.0,1,1.4901161193847656e-06,144.0,4200.0
8,21,1 ,294.0,0.0,100.0,1,0.0,294.0,4200.0
9,22,1 ,150.0,126.57921600341797,100.0,1,5.9604644775390625e-06,196.27098083496094,4200.0
10,23,1 ,200.0,0.0,100.0,1,8.940696716308594e-06,200.0,4200.0
11,25,G1,0.014294070191681385,11.12259578704834,1.0,1,0.0,1112.2603759765625,4200.0
0,1,1 ,30.72197723388672,62.954627990722656,100.0,1,0.0,70.05087280273438,4500.0
1,2,1 ,67.0,0.0,100.0,1,8.429369700024836e-06,67.0,4500.0
2,7,1 ,64.0,0.0,100.0,1,5.960475846222835e-06,64.0,4500.0
3,13,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,4500.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,4500.0
5,15,1 ,274.0,0.0,100.0,1,2.384185791015625e-05,274.0,4500.0
6,16,1 ,245.0,0.0,100.0,1,5.9604644775390625e-06,245.0,4500.0
7,18,1 ,144.0,0.0,100.0,1,5.587935447692871e-07,144.0,4500.0
8,21,1 ,294.0,0.0,100.0,1,2.4027400286286138e-05,294.0,4500.0
9,22,1 ,150.0,126.30136108398438,100.0,1,5.9604644775390625e-06,196.09190368652344,4500.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,4500.0
11,25,G1,0.020617900416254997,11.108784675598145,1.0,1,5.9604644775390625e-06,1110.88037109375,4500.0
0,1,1 ,30.822452545166016,62.8072395324707,100.0,1,1.794337367755361e-05,69.96265411376953,4800.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,4800.0
2,7,1 ,64.0,0.0,100.0,1,1.1641532182693481e-08,64.0,4800.0
3,13,1 ,200.0,0.0,100.0,1,1.2013700143143069e-05,200.0,4800.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,4800.0
5,15,1 ,274.0,0.0,100.0,1,2.9802322387695312e-06,274.0,4800.0
6,16,1 ,245.0,0.0,100.0,1,1.2013700143143069e-05,245.0,4800.0
7,18,1 ,144.0,0.0,100.0,1,1.862645149230957e-07,144.0,4800.0
8,21,1 ,294.0,0.0,100.0,1,5.9604644775390625e-06,294.0,4800.0
9,22,1 ,150.0,126.11418914794922,100.0,1,5.9604644775390625e-06,195.97140502929688,4800.0
10,23,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,4800.0
11,25,G1,0.019979361444711685,11.099105834960938,1.0,1,0.0,1109.912353515625,4800.0
0,1,1 ,31.934932708740234,62.17499923706055,100.0,1,6.143906375655206e-06,69.89685821533203,5100.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,5100.0
2,7,1 ,64.0,0.0,100.0,1,5.960646376479417e-06,64.0,5100.0
3,13,1 ,200.0,0.0,100.0,1,0.0,200.0,5100.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,5100.0
5,15,1 ,274.0,0.0,100.0,1,2.9802322387695312e-06,274.0,5100.0
6,16,1 ,245.0,0.0,100.0,1,9.010274879983626e-06,245.0,5100.0
7,18,1 ,144.0,0.0,100.0,1,9.313225746154785e-07,144.0,5100.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,5100.0
9,22,1 ,150.0,125.78129577636719,100.0,1,5.9604644775390625e-06,195.75733947753906,5100.0
10,23,1 ,200.0,0.0,100.0,1,0.0,200.0,5100.0
11,25,G1,0.017712632194161415,11.106233596801758,1.0,1,5.9604644775390625e-06,1110.624755859375,5100.0
0,1,1 ,33.244178771972656,61.37089157104492,100.0,1,6.143906375655206e-06,69.79656982421875,5400.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,5400.0
2,7,1 ,64.0,0.0,100.0,1,3.4924596548080444e-08,64.0,5400.0
3,13,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,5400.0
4,14,1 ,0.0,0.0,100.0,1,2.9802322387695312e-06,0.0,5400.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,5400.0
6,16,1 ,245.0,0.0,100.0,1,3.3320009151793784e-06,245.0,5400.0
7,18,1 ,144.0,0.0,100.0,1,2.421438694000244e-06,144.0,5400.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,5400.0
9,22,1 ,150.0,125.49483489990234,100.0,1,5.9604644775390625e-06,195.57339477539062,5400.0
10,23,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,5400.0
11,25,G1,0.01564585417509079,11.101163864135742,1.0,1,0.0,1110.1175537109375,5400.0
0,1,1 ,33.197776794433594,61.91829299926758,100.0,1,5.9604644775390625e-06,70.25643920898438,5700.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,5700.0
2,7,1 ,64.0,0.0,100.0,1,5.960475846222835e-06,64.0,5700.0
3,13,1 ,200.0,0.0,100.0,1,0.0,200.0,5700.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,5700.0
5,15,1 ,274.0,0.0,100.0,1,2.4027400286286138e-05,274.0,5700.0
6,16,1 ,245.0,0.0,100.0,1,6.06433331995504e-06,245.0,5700.0
7,18,1 ,144.0,0.0,100.0,1,1.4901161193847656e-06,144.0,5700.0
8,21,1 ,294.0,0.0,100.0,1,0.0,294.0,5700.0
9,22,1 ,150.0,125.86767578125,100.0,1,0.0,195.81285095214844,5700.0
10,23,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,5700.0
11,25,G1,0.014848007820546627,11.107418060302734,1.0,1,0.0,1110.7427978515625,5700.0
0,1,1 ,33.65656280517578,61.6600456237793,100.0,1,8.940696716308594e-06,70.24760437011719,6000.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,6000.0
2,7,1 ,64.0,0.0,100.0,1,8.149072527885437e-08,64.0,6000.0
3,13,1 ,200.0,0.0,100.0,1,1.1920928955078125e-05,200.0,6000.0
4,14,1 ,0.0,0.0,100.0,1,2.9802322387695312e-06,0.0,6000.0
5,15,1 ,274.0,0.0,100.0,1,4.470348358154297e-06,274.0,6000.0
6,16,1 ,245.0,0.0,100.0,1,1.8020549759967253e-05,245.0,6000.0
7,18,1 ,144.0,0.0,100.0,1,1.1944189282075968e-05,144.0,6000.0
8,21,1 ,294.0,0.0,100.0,1,0.0,294.0,6000.0
9,22,1 ,150.0,125.51522064208984,100.0,1,0.0,195.58648681640625,6000.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,6000.0
11,25,G1,0.012458107434213161,11.105162620544434,1.0,1,0.0,1110.516845703125,6000.0
0,1,1 ,34.548248291015625,60.9781608581543,100.0,1,8.429369700024836e-06,70.08507537841797,6300.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,6300.0
2,7,1 ,64.0,0.0,100.0,1,6.984919309616089e-08,64.0,6300.0
3,13,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,6300.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,6300.0
5,15,1 ,274.0,0.0,100.0,1,2.425733327982016e-05,274.0,6300.0
6,16,1 ,245.0,0.0,100.0,1,5.972094641037984e-06,245.0,6300.0
7,18,1 ,144.0,0.0,100.0,1,1.1922384146600962e-05,144.0,6300.0
8,21,1 ,294.0,0.0,100.0,1,2.9802322387695312e-06,294.0,6300.0
9,22,1 ,150.0,125.20252227783203,100.0,1,0.0,195.38595581054688,6300.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,6300.0
11,25,G1,0.017375398427248,11.075617790222168,1.0,1,0.0,1107.56298828125,6300.0
0,1,1 ,34.79084014892578,61.74039077758789,100.0,1,1.1920928955078125e-05,70.86803436279297,6600.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,6600.0
2,7,1 ,64.0,0.0,100.0,1,1.1641532182693481e-08,64.0,6600.0
3,13,1 ,200.0,0.0,100.0,1,0.0,200.0,6600.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,6600.0
5,15,1 ,274.0,0.0,100.0,1,1.4901161193847656e-06,274.0,6600.0
6,16,1 ,245.0,0.0,100.0,1,6.0068500715715345e-06,245.0,6600.0
7,18,1 ,144.0,0.0,100.0,1,1.862645149230957e-07,144.0,6600.0
8,21,1 ,294.0,0.0,100.0,1,8.940696716308594e-06,294.0,6600.0
9,22,1 ,150.0,126.00665283203125,100.0,1,0.0,195.90220642089844,6600.0
10,23,1 ,200.0,0.0,100.0,1,0.0,200.0,6600.0
11,25,G1,0.02195853739976883,11.129316329956055,1.0,1,1.1641532182693481e-08,1112.933837890625,6600.0
0,1,1 ,36.62334442138672,59.99627685546875,100.0,1,4.470348358154297e-06,70.29098510742188,6900.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,6900.0
2,7,1 ,64.0,0.0,100.0,1,4.6566128730773926e-08,64.0,6900.0
3,13,1 ,200.0,0.0,100.0,1,5.9604644775390625e-06,200.0,6900.0
