Generator,p,q,time_s
G3,200.0,49.72830090988289,8400.0
G4,0.0,68.4587907824974,8400.0
G5,274.0,71.97254026593524,8400.0
G6,245.0,33.8561441865276,8400.0
G7,144.0,36.99535814624335,8400.0
G8,294.0,-52.665869959671525,8400.0
G9,150.0,-29.513114603929893,8400.0
G10,200.0,-6.245800002371752,8400.0
G1-RM3-60,0.01798498187360863,-0.047959851011387035,8400.0
G2-RM3-60,0.01798498187360863,0.0,8400.0
G3-RM3-60,0.01798498187360863,0.0,8400.0
G4-RM3-60,0.01798498187360863,0.0,8400.0
G5-RM3-60,0.01798498187360863,0.0,8400.0
G6-RM3-60,0.01798498187360863,0.0,8400.0
G7-RM3-60,0.01798498187360863,0.0,8400.0
G8-RM3-60,0.01798498187360863,0.0,8400.0
G0,32.27890221372621,-119.89663458331992,8700.0
G1,67.0,59.714318037950996,8700.0
G2,64.0,42.45738006537001,8700.0
G3,200.0,49.752196487645136,8700.0
G4,0.0,68.41150731026528,8700.0
G5,274.0,71.82810654226392,8700.0
G6,245.0,33.8838906624498,8700.0
G7,144.0,37.032203688095635,8700.0
G8,294.0,-52.67041388353037,8700.0
G9,150.0,-29.511437620315462,8700.0
G10,200.0,-6.245153829808757,8700.0
G1-RM3-60,0.014591381190401112,-0.03891028359254453,8700.0
G2-RM3-60,0.014591381190401112,0.0,8700.0
G3-RM3-60,0.014591381190401112,0.0,8700.0
G4-RM3-60,0.014591381190401112,0.0,8700.0
G5-RM3-60,0.014591381190401112,0.0,8700.0
G6-RM3-60,0.014591381190401112,0.0,8700.0
G7-RM3-60,0.014591381190401112,0.0,8700.0
G8-RM3-60,0.014591381190401112,0.0,8700.0
G0,31.538592530550545,-119.49666815689645,9000.0
G1,67.0,59.62271036403092,9000.0
G2,64.0,42.331212432634075,9000.0
G3,200.0,49.70055763110216,9000.0
G4,0.0,68.42909846413177,9000.0
G5,274.0,71.92623731026129,9000.0
G6,245.0,33.867652063033425,9000.0
G7,144.0,37.025147395688,9000.0
G8,294.0,-52.669307502615666,9000.0
G9,150.0,-29.512130653028038,9000.0
G10,200.0,-6.274343117352302,9000.0
G1-RM3-60,0.017744862894017454,-0.04731953640034261,9000.0
G2-RM3-60,0.017744862894017454,0.0,9000.0
G3-RM3-60,0.017744862894017454,0.0,9000.0
G4-RM3-60,0.017744862894017454,0.0,9000.0
G5-RM3-60,0.017744862894017454,0.0,9000.0
G6-RM3-60,0.017744862894017454,0.0,9000.0
G7-RM3-60,0.017744862894017454,0.0,9000.0
G8-RM3-60,0.017744862894017454,0.0,9000.0
G0,33.81786837968741,-120.60375090376075,9300.0
G1,67.0,60.12064980372774,9300.0
G2,64.0,42.329234283886706,9300.0
G3,200.0,49.59166078881903,9300.0
G4,0.0,68.27028398965697,9300.0
G5,274.0,71.62336038624844,9300.0
