BUS_ID,BUS_ID,BUS_TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,time_s
21,22,2,0.0,0.0,150.0,122.85961151123047,150.0,122.85961151123047,1.0,230.0,230.0,32.29521560668945,0.5636576414108276,0.0,31500.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.9082138538360596,208.88917541503906,230.0,17.59699249267578,0.30712535977363586,3.3320009151793784e-06,31500.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8989014625549316,206.74732971191406,230.0,20.551713943481445,0.3586949408054352,3.725290298461914e-07,31500.0
24,25,2,0.0,0.0,0.1594388633966446,88.69963836669922,0.1594388633966446,88.69963836669922,1.0,138.0,138.0,-3.9030890464782715,-0.06812173128128052,5.960475846222835e-06,31500.0
0,1,3,0.0,0.0,53.80707931518555,53.86307907104492,53.80707931518555,53.86307907104492,1.0,138.0,138.0,0.0,0.0,2.9802322387695312e-06,31800.0
1,2,2,99.36154174804688,20.0,67.0,0.0,-32.361541748046875,-20.0,0.9985260367393494,137.7965850830078,138.0,-0.018871713429689407,-0.0003293734334874898,5.9604644775390625e-06,31800.0
2,3,1,91.95484161376953,19.0,0.0,0.0,-91.95484161376953,-19.0,0.9105359315872192,125.65396118164062,138.0,8.344073295593262,0.14563150703907013,0.0,31800.0
3,4,1,75.3947982788086,15.000000953674316,0.0,0.0,-75.3947982788086,-15.000000953674316,0.9260485768318176,127.7947006225586,138.0,-1.2551004886627197,-0.021905628964304924,0.0,31800.0
4,5,1,72.54114532470703,14.0,0.0,0.0,-72.54114532470703,-14.0,0.9595135450363159,132.41287231445312,138.0,-0.959503173828125,-0.016746483743190765,2.9802322387695312e-06,31800.0
5,6,1,69.48200225830078,14.0,0.0,0.0,-69.48200225830078,-14.0,0.9661859273910522,133.33364868164062,138.0,-0.7981301546096802,-0.013929994776844978,3.071953187827603e-06,31800.0
6,7,2,63.26203155517578,13.0,64.0,0.0,0.7379684448242188,-13.0,1.0,138.0,138.0,-3.8128371238708496,-0.06654653698205948,1.1920934412046336e-05,31800.0
7,8,1,86.55194091796875,18.0,0.0,0.0,-86.55194091796875,-18.0,0.9533098936080933,219.2612762451172,230.0,-3.103966474533081,-0.05417441576719284,8.381903171539307e-07,31800.0
8,9,1,177.7548828125,36.0,0.0,0.0,-177.7548828125,-36.0,0.9038476347923279,124.73097229003906,138.0,2.8820977210998535,0.05030207708477974,8.940696716308594e-06,31800.0
9,10,1,101.75850677490234,23.0,0.0,0.0,-101.75850677490234,-23.0,0.9460304975509644,130.55221557617188,138.0,1.876874566078186,0.032757628709077835,1.4901161193847656e-05,31800.0
10,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.900230348110199,207.052978515625,230.0,9.461604118347168,0.16513608396053314,0.0,31800.0
11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9060126543045044,208.38291931152344,230.0,8.725264549255371,0.15228454768657684,2.9802322387695312e-06,31800.0
12,13,2,132.39248657226562,27.000001907348633,200.0,0.0,67.60751342773438,-27.000001907348633,0.9016180634498596,207.37216186523438,230.0,11.851545333862305,0.2068484127521515,5.9604644775390625e-06,31800.0
13,14,2,93.78449249267578,20.0,0.0,0.0,-93.78449249267578,-20.0,0.8934705257415771,205.49822998046875,230.0,14.786918640136719,0.2580803334712982,0.0,31800.0
14,15,2,160.88809204101562,32.0,274.0,0.0,113.11190795898438,-32.0,0.9214063286781311,211.9234619140625,230.0,28.052400588989258,0.4896065890789032,4.470348358154297e-06,31800.0
15,16,2,102.09931945800781,20.0,245.0,0.0,142.9006805419922,-20.0,0.9093259572982788,209.14495849609375,230.0,22.23218536376953,0.3880246877670288,1.794337367755361e-05,31800.0
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9304289221763611,213.9986572265625,230.0,26.888751983642578,0.4692970812320709,5.9604644775390625e-06,31800.0
17,18,2,164.87423706054688,34.0,144.0,0.0,-20.874237060546875,-34.0,0.933316171169281,214.6627197265625,230.0,28.62639045715332,0.4996245801448822,1.2065570444974583e-05,31800.0
18,19,1,91.75981903076172,18.0,0.0,0.0,-91.75981903076172,-18.0,0.9044405221939087,208.0213165283203,230.0,19.227642059326172,0.3355855345726013,1.1920928955078125e-05,31800.0
19,20,1,66.36724853515625,13.0,0.0,0.0,-66.36724853515625,-13.0,0.9060068130493164,208.38156127929688,230.0,17.88680076599121,0.3121834695339203,0.0,31800.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9411081075668335,216.45486450195312,230.0,30.321781158447266,0.5292147397994995,2.384185791015625e-05,31800.0
21,22,2,0.0,0.0,150.0,122.73599243164062,150.0,122.73599243164062,1.0,230.0,230.0,32.346839904785156,0.5645586848258972,5.9604644775390625e-06,31800.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.9083318114280701,208.9163055419922,230.0,17.65547752380371,0.3081461191177368,3.3320009151793784e-06,31800.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8989336490631104,206.75473022460938,230.0,20.597360610961914,0.35949164628982544,3.725290298461914e-07,31800.0
24,25,2,0.0,0.0,0.13923487067222595,88.49606323242188,0.13923487067222595,88.49606323242188,1.0,138.0,138.0,-3.8128371238708496,-0.06654653698205948,5.960475846222835e-06,31800.0
0,1,3,0.0,0.0,52.35780334472656,53.98960876464844,52.35780334472656,53.98960876464844,1.0,138.0,138.0,0.0,0.0,4.214684850012418e-06,32100.0
